G1	G2	G3	G4	G5	X	Y
1	0	0	0	0	101.547666182638	125.490144118943
1	0	1	0	1	93.845940725195	112.041091277017
1	0	0	0	0	101.07826371155	127.48008080018
1	1	0	0	0	99.4685339514961	124.631508814627
1	0	1	0	0	98.3710845815543	120.766029897853
1	0	1	0	1	94.4732867655452	110.066581257063
1	0	1	0	1	98.9788167309055	123.403531162602
1	1	0	0	0	94.6116523432163	109.680951863881
0	0	1	0	0	93.5734945778872	109.32127818072
0	1	1	0	0	94.101184707486	110.507446708819
0	0	0	0	0	94.3442132764139	115.096743694371
0	0	0	0	0	95.9669290662117	123.047271478947
1	0	0	1	0	104.994130049102	138.200550030237
0	1	0	0	0	101.933052443231	124.220889306182
0	0	0	0	1	107.524092311451	148.489238964917
0	1	0	0	0	94.3531077435261	112.49770996734
1	1	1	0	1	91.9927774946678	109.042865230058
1	1	0	0	0	105.142325219493	149.013443525413
0	2	1	0	0	97.3960870074229	117.10342713897
1	1	0	0	0	96.1201979295669	120.790204696052
1	0	0	1	0	98.0199086069565	126.417367198329
0	1	0	0	0	92.0179424356156	113.269829125577
0	0	0	0	0	80.0986961240361	88.1909810509295
1	0	1	0	1	93.525932115448	107.515942478308
0	0	0	1	0	101.548182644079	135.641498534199
1	2	0	0	0	100.950119400845	130.413616674642
1	0	0	0	0	100.493072819128	126.672961737398
1	0	1	1	0	93.0312380529728	100.185999723894
0	1	0	0	0	97.4633338422951	130.381991939359
0	2	1	0	0	95.5075881905873	114.681495936302
0	0	0	1	0	91.7495825565854	116.991937034245
0	2	0	1	0	92.4030072752183	108.112027696576
0	1	0	0	0	86.0686884162207	93.0704632683974
0	0	1	0	0	97.285293191296	124.185635983096
1	0	0	0	0	100.152525036108	125.816964710796
1	0	0	0	0	99.066787831518	120.615949061813
2	1	1	0	1	102.263305026246	130.471244469326
0	0	1	0	1	97.8962643924259	128.584333736328
0	0	0	0	0	94.8415304583022	121.519356763075
0	1	1	0	0	99.348296016341	116.045265198137
0	0	0	0	0	98.3777745698502	121.386860820915
1	1	0	1	0	101.092990640841	121.092237776281
0	0	0	0	0	89.8433133343506	97.4194259390718
0	2	0	0	0	90.3700980787061	109.010729431666
1	0	0	1	0	98.9664005967712	122.487439249177
0	0	2	0	0	97.6979046236184	124.468325569707
1	0	0	0	0	96.8448761784835	119.992319372874
1	0	0	0	0	92.6652003182343	102.345684401082
0	1	0	0	0	99.9729998267253	133.240950388324
1	0	1	0	1	92.4469749382813	114.647716917212
2	1	1	0	0	95.7373387774323	118.239737672136
1	0	0	0	1	102.951422769149	133.708726082571
0	0	0	0	0	89.1527189834383	105.340488430058
1	0	0	1	0	98.271746203889	124.019123544251
0	0	0	0	0	99.77549482303	125.542111612545
1	0	1	0	1	102.622646037954	132.407455408598
0	0	0	1	1	91.0642940597878	100.014764721298
0	0	0	0	0	84.43061106615	96.9205881744224
0	1	1	2	0	104.281534362115	141.538870629555
1	1	2	0	0	95.3389778957501	124.229517131163
1	2	1	1	2	100.352260209436	134.094833551927
1	0	1	0	0	87.9256655821855	95.8128464164107
0	1	0	0	0	94.1489152273917	107.248969873763
0	1	1	0	0	104.810414072651	137.72209946854
0	0	1	0	0	88.7562286529462	108.024250113132
1	0	0	0	0	96.2796674481007	111.490468673661
0	1	0	1	1	95.6095216230063	119.166921787907
1	2	0	1	0	93.1838416446381	120.396200959944
0	0	1	0	0	102.639260499703	121.821209318329
1	0	0	0	1	97.3955891889219	129.016566534868
0	0	0	1	0	101.599675429454	123.539140290079
1	0	0	1	0	96.5008508329706	113.46881638656
0	0	0	0	0	97.8067419379058	115.944081612265
1	0	0	1	1	102.945449933488	134.076326483323
0	1	0	1	0	91.4635561171229	112.410793601083
2	0	0	0	0	96.2033258962776	119.681273193597
1	1	0	0	0	103.971028713486	134.658305673402
0	1	0	0	0	92.0534186990082	117.618311012933
1	0	0	0	0	98.377451440907	122.990536642854
0	0	1	1	0	100.803436235933	133.38902378334
0	0	0	0	0	100.549973153461	127.297038473561
0	0	0	0	0	80.6375510311849	84.9358338008427
0	2	1	0	0	91.3264922918861	106.078091826106
1	0	1	0	1	104.197509120885	136.599821631106
0	0	1	0	0	94.982000192702	115.834472314812
1	0	1	0	0	97.6242098833783	122.6077807435
1	0	0	1	0	96.7611282250747	124.887266337455
1	1	0	0	0	99.0126128028277	126.792462085031
0	0	0	0	0	100.033267091465	119.106299513805
0	0	2	0	0	99.0912425833123	123.606806615566
1	0	0	1	1	94.5113378501897	113.626493707565
0	1	0	1	1	98.1573684840771	118.773269678
0	1	0	0	0	88.1945198450609	99.9960909657099
0	1	0	1	1	97.9479647775313	129.526288067821
1	1	0	0	0	93.4894737224621	115.039325668986
1	0	1	0	1	97.7413544947782	118.455388765651
2	1	1	0	1	108.173813282425	139.537158760939
1	0	1	0	0	95.289463406175	117.472055797321
1	0	0	1	0	96.4806475193479	124.482079995876
2	0	0	0	0	103.360192876965	137.483943396511
1	1	0	0	0	105.527269978855	153.636554903016
0	0	1	1	0	98.4692102467412	112.986028055827
1	0	1	0	1	95.7960897864312	117.189558329703
0	1	0	1	0	105.367005709583	137.4745294247
1	0	1	1	0	93.0129858438078	115.05112211958
0	0	0	0	0	92.7854589173491	113.343377220773
1	1	0	0	1	97.4964865620222	110.385945247471
0	0	0	1	0	95.2543196878633	119.441425649032
2	0	0	0	0	92.498115757923	112.843841191365
0	1	0	0	0	93.3594378390152	115.936193253124
1	0	0	0	0	89.738371087478	111.323447956986
0	0	0	0	0	87.4814159442042	104.881052934288
2	0	0	1	0	95.2781702167095	120.406783089023
2	1	1	0	0	101.268310764994	120.571215849637
1	0	1	0	0	99.7017095198218	123.156081317696
0	0	0	1	0	95.5479687733233	126.160499095763
0	0	1	1	0	98.5091825294799	124.47746304406
0	1	1	0	0	96.9060152975953	125.586292517011
1	0	0	0	0	102.336984901089	136.404008497029
1	0	0	0	1	105.95903238145	143.959474894017
2	0	0	0	1	90.4854039943236	100.578506634608
2	1	0	0	1	98.6744780347984	125.713074266648
0	1	0	0	0	99.4527739536091	125.653167046389
1	1	0	0	0	96.4177597883647	111.414556021529
0	2	0	1	0	95.8347377967992	124.128696564982
0	0	0	0	0	96.6685863111116	121.765062497066
1	0	1	0	0	96.4904163860826	121.073049341498
1	0	0	0	0	94.448824059941	107.757311608336
0	0	0	2	0	99.2420562470263	134.22490804031
1	1	1	0	1	94.828930705623	109.232385584303
0	0	1	1	1	102.469647898847	131.402287611002
2	0	0	0	0	83.4910293427722	93.2004841294617
0	0	1	1	0	96.4154446731706	109.133985563867
1	2	0	0	1	96.4835626021661	125.525439221451
0	0	0	0	0	97.3465173698787	117.713864292774
0	0	0	0	0	101.557569862037	129.53718204913
1	0	0	0	0	86.8289393795929	97.0736926750285
0	1	0	0	0	90.223075238292	108.714245252365
0	1	0	0	0	100.376750366914	125.972379290733
1	1	1	0	0	93.6499962047548	114.873652206928
0	0	0	0	0	102.07941711319	120.264054946308
0	0	0	0	1	98.5931819766922	124.702327635978
2	1	0	0	1	100.370361051256	120.274575415793
0	0	0	0	0	89.349463740221	103.953630134996
0	0	0	1	0	97.1767783502812	123.850051587702
2	0	0	0	0	103.401679313576	136.96581381855
0	1	0	0	0	94.1794289082612	112.828492734357
0	0	0	0	2	93.7717178633161	116.276405479287
0	1	0	0	0	92.57570617141	116.580436378003
1	0	0	1	0	106.071539308007	149.854680399703
1	0	0	0	0	100.27949302042	123.871461913583
0	0	1	0	0	89.4329002886259	97.8412410623703
0	0	0	0	0	97.0825535613163	127.2391300487
1	1	0	0	0	90.9217270135216	101.974824580141
1	0	1	1	0	94.3139559691598	112.29108793024
1	0	0	0	1	93.1867504173862	115.47509026519
0	0	1	0	0	100.475978591359	120.802620586087
1	0	1	1	0	93.2434763630962	120.17707089869
0	0	0	0	1	102.820055169003	131.828253221481
1	0	0	0	0	93.4034319774805	115.247640030026
0	0	0	0	0	89.8311196133989	108.302335314473
1	0	1	0	0	94.7994359882253	114.471723595399
0	1	0	0	0	90.2359144392044	106.935036574246
1	0	0	0	0	104.733617374136	135.728243438848
0	1	1	0	1	95.6208086872059	126.138332797708
0	0	0	0	0	95.5791779387985	108.326273590878
0	1	0	0	0	100.364166408339	137.642471188748
1	0	0	0	0	94.2512183953281	115.456999742234
2	0	1	0	0	96.8336500741777	126.659741112351
1	0	2	0	0	94.4973781565167	111.652186405072
1	1	0	0	1	94.7070294860324	126.564513283197
1	0	1	0	0	92.147595796832	113.936780759393
1	1	1	0	0	83.5090381631723	93.9320346732359
0	0	1	0	0	90.4487631336853	111.901082052657
1	1	0	0	1	102.160124060313	128.021676167081
1	1	2	0	0	103.01737154949	140.444117024175
2	0	0	0	0	79.2974933049481	86.1248113769139
1	0	1	1	0	93.6011983713544	114.338477840776
0	1	1	1	0	97.834528569553	125.261647455659
2	0	0	1	0	100.333478561116	129.336113858037
0	0	0	0	0	98.9731759147434	125.17735695726
0	1	1	1	0	104.554900412349	134.56966646919
2	1	0	1	1	97.3281016332831	122.49097319564
0	0	0	1	0	98.3578638580708	117.362037094645
1	0	1	1	0	99.7374548766162	121.503217396701
0	1	0	0	1	100.714660130686	130.317925494691
2	0	0	1	0	98.5267936496064	130.632195816773
1	0	0	0	0	96.0397181803022	116.071271022834
1	0	0	0	1	100.142256543163	122.740213404719
0	0	0	0	0	93.7783510574104	116.92396588371
1	0	1	0	0	96.9768242906272	124.058238144227
0	0	0	0	0	95.6287081149535	111.342839151823
1	1	0	0	0	95.8421390404478	121.800520009677
0	0	2	2	1	113.692750290273	155.398316656046
1	0	0	0	0	95.0048111519199	120.788965022039
0	1	0	1	0	96.150380197613	108.699175664498
1	1	0	0	0	91.740531674775	121.738171772355
0	0	1	0	0	84.0446580805769	87.1584519667817
1	1	1	0	1	95.1932458637265	116.950183704507
0	1	2	1	0	95.8697493636778	120.330320206758
1	2	0	0	0	95.3124744814716	122.050222893497
0	1	0	1	0	97.1830823749638	114.588557365128
0	1	0	0	1	98.86216092795	131.578430071747
2	1	1	1	1	105.30284042777	136.914550626189
0	0	0	0	0	91.6860309191237	111.879558122525
0	0	0	0	1	92.5813964254617	111.82392096106
0	0	0	0	0	100.664417515177	126.461306613788
0	0	0	0	0	94.8872964771293	114.171115978308
0	1	0	0	0	89.8831156574604	103.61433642981
1	1	0	0	0	93.5638386035778	109.325985923431
1	1	0	0	0	90.6688157788574	108.535262729115
0	1	0	1	0	104.064355010726	152.202824206377
2	0	0	1	0	103.059866468193	129.154880380987
1	0	0	0	0	96.8108752562997	117.874174358442
0	1	0	0	0	99.5966973679241	129.620801918209
0	1	0	0	0	87.7324569489259	101.843316347358
0	0	0	0	0	87.972908133882	96.9011265988045
0	1	1	0	2	105.228824952155	140.614960211407
0	1	0	0	1	95.4787211034299	115.226672480703
1	0	0	1	0	98.5801020380914	122.28578086677
0	0	1	0	0	87.8506935029484	103.429736969363
1	1	0	0	0	92.8643104450824	113.012341825016
1	0	1	0	0	86.5733434033893	94.8614862327554
0	0	0	0	0	93.3673005492858	111.761348940707
0	0	1	1	0	101.797750689095	140.214209692881
1	0	0	0	0	93.6110759185024	116.994601480234
1	1	0	0	1	97.2958966455111	130.972557509078
2	0	1	0	0	98.4649782081536	123.246383771567
1	2	0	1	0	96.8632527370194	119.637567912804
0	0	1	0	0	104.631885274345	139.00367744069
0	0	0	2	0	101.415453859511	129.93509210374
0	1	0	0	1	93.9694559435382	116.671685733728
1	1	1	1	0	102.948740402	132.364347112581
0	0	0	1	0	79.0449112789048	82.4859226875537
1	0	0	0	1	101.693274764482	135.744641381771
0	1	0	0	0	92.5808607222727	117.54365508149
1	0	0	0	1	97.2852073253891	121.873521830924
2	1	0	0	1	102.989884716735	127.856770726493
1	1	2	0	0	91.2567243827246	108.082118023027
1	2	1	0	0	95.427563016798	116.910013548711
1	0	1	0	0	99.6990418213511	122.094885481896
0	0	1	0	1	93.9028776706986	113.041185166786
1	1	0	1	0	97.4704157999751	123.767805686604
0	2	1	0	0	99.1058602827145	122.222677867595
1	1	0	0	1	103.455849031897	136.305032207397
1	0	0	0	0	95.7665069376504	109.573063404955
1	0	0	0	0	96.3690289479457	116.70255388809
0	0	0	1	0	94.0007181077648	107.442020199529
1	1	0	2	1	97.7916393237735	127.962290752273
1	0	0	0	0	100.277086388522	129.8419610046
0	0	1	0	0	90.3043294361216	111.144039031407
0	1	1	1	0	92.4004715439776	115.079919341851
0	2	0	0	0	100.062968509549	127.68559603506
1	0	2	1	0	98.5799558917598	122.144390694389
0	0	1	1	0	91.8155556757768	111.787207600365
2	0	1	1	1	104.759300378955	136.03480544639
1	1	1	1	0	94.0277426912866	119.220010345735
0	0	1	0	0	107.175492854905	143.442496649729
1	0	0	0	0	100.906445782888	124.654301426839
0	1	0	0	0	96.4447624630294	116.514490228836
2	0	1	0	0	98.3745373736562	121.092832160602
1	0	1	0	0	94.0693600245368	114.215453049931
1	0	0	0	0	95.143893761332	121.677822044889
0	0	1	0	1	101.891816580426	137.352763287596
0	0	0	0	0	92.7049867046442	118.490124034358
0	0	1	0	0	91.0266288803018	102.771436043665
0	0	2	0	0	97.5286490023629	122.511188820351
2	0	1	0	0	93.8584839264733	116.016739039848
2	0	1	0	1	95.6225603287263	113.111130106477
1	0	0	0	1	103.208346434273	133.649274797409
1	0	1	0	0	93.2458174362513	115.313936159251
2	1	1	0	0	103.532290093838	138.866670049499
0	0	0	0	0	90.1843454522071	108.501668494163
2	2	0	0	0	96.0905212264157	126.206392192259
1	0	2	0	1	107.346115799925	138.99404413522
1	1	0	0	0	96.3890788467301	122.093227691976
1	0	0	0	0	90.5222892603576	116.301932610523
0	0	1	0	0	100.076630117133	119.27148143346
1	0	0	1	1	105.715731886234	137.082228886547
0	0	0	0	0	86.3865116100584	100.72194609888
1	1	0	0	0	99.2719665566993	117.7497187775
1	0	0	0	0	91.9675226798573	110.271325842845
2	1	0	0	1	100.696907121046	128.350593791593
1	0	0	0	0	97.7068834610497	124.978815956513
2	2	0	0	0	92.1998180424013	112.997169308581
1	1	1	0	0	85.9639171332546	105.289206504529
0	0	0	0	0	92.3206775403826	111.091389004096
1	0	0	0	0	93.0749143469114	109.929230487613
0	1	1	0	0	100.182188384106	135.28859992255
0	1	0	1	0	103.634016821073	132.417660862893
0	1	0	0	0	97.3450165739397	120.859693481411
1	1	0	0	0	90.4986804400257	107.769971119213
1	0	1	1	0	90.9808817519089	99.8305311873441
2	1	2	0	1	101.236109652809	131.493094593849
0	0	0	0	0	88.9382706142909	109.047300962924
1	0	1	0	0	86.2369882995921	108.268537992315
1	1	1	0	1	87.6323977291991	103.863292439407
0	1	0	0	1	97.1490603658977	123.740409266846
1	2	0	0	0	99.7074469900618	125.771760621411
0	1	1	1	1	104.775312414504	137.449059467872
0	0	2	1	0	95.4997339320944	106.050660654713
1	0	0	1	0	97.2723193104088	118.700393055262
0	0	1	1	0	98.8020009037269	134.535736672843
2	1	1	0	0	97.9937299906886	115.246466782856
0	1	1	0	0	89.9498442473183	106.222678898079
1	2	0	0	0	91.3942479671575	109.897772791876
0	0	0	0	1	97.7021143682706	121.827937448012
1	0	0	0	0	98.8083096861801	127.330838145203
1	1	0	1	0	85.6488345706745	109.572635834946
1	0	0	1	0	94.5704733303608	127.515563152676
1	1	1	2	0	96.0112094906522	111.998292835839
2	0	0	0	1	99.202491541278	116.378031542972
0	0	1	0	0	101.984047211183	126.276701763839
1	0	1	0	1	88.3288367886017	104.100611016189
1	0	0	0	0	94.6113564683435	113.666014862238
1	2	1	1	0	93.3945073684191	111.876320279624
0	1	0	0	1	107.195466787978	150.981306719375
0	1	1	0	0	93.834601718153	109.289323950116
2	0	0	0	1	95.386164538634	116.24186994807
0	0	0	0	1	96.7643130496928	115.958896313628
0	1	0	0	0	105.330380698177	134.887606772715
1	0	1	0	0	86.602337989008	95.5384943771672
1	1	1	1	0	94.4091084214155	114.927392612973
0	0	0	0	0	101.833638054506	135.435874570712
2	1	0	0	0	88.6249470651242	111.06309981069
1	2	1	0	0	95.7904362099153	114.699683848254
0	0	0	0	0	96.3333189693092	122.830329572021
1	0	0	0	0	94.2359719189511	114.963717634967
1	0	1	0	0	103.90951615588	132.568978716364
2	0	0	0	0	87.7059021178616	95.8472820958977
1	0	0	0	0	98.4889821915417	116.766959984907
0	0	0	0	1	94.428036861436	114.281267500584
1	1	1	0	0	99.0271932277008	116.577571338719
1	1	2	1	0	98.8524780420346	122.801820736407
1	0	0	0	0	90.7968169869369	111.004135864415
0	0	0	0	0	87.7110202147002	108.652044547953
0	1	0	0	0	94.8236586544846	119.373359165436
1	1	0	0	0	100.440150409938	131.440810926044
1	1	0	0	0	95.8605987641442	112.329537316248
0	1	1	0	0	99.3387992300332	138.106866014182
0	0	0	0	0	99.0051479815839	126.256909420239
0	1	1	0	0	84.1412700931021	95.3229664998812
0	0	0	0	1	87.6740251648937	100.144809594631
0	0	1	0	0	89.6173164713032	104.31083418963
1	1	0	1	0	101.128654839159	126.065564420625
2	0	1	0	0	87.7961402835578	95.9146442652687
1	1	1	0	0	91.9465024714896	106.467915742509
1	0	0	1	0	100.622422231042	126.703545870955
0	0	0	1	0	101.155137250674	127.451459195562
2	0	2	1	0	101.165075230242	125.174266564333
1	0	1	0	0	100.673088827538	129.375438714685
0	0	0	0	0	98.2236647681816	125.424887751538
0	0	1	0	0	98.9067731396311	128.098433863602
2	0	0	1	1	94.5146020596585	121.901098945249
0	0	0	0	0	92.2767324428393	108.429054844625
0	0	0	0	0	95.7587853769473	109.745055170169
0	0	0	1	0	89.53428619095	102.656970233293
0	0	0	0	0	90.2539528009989	106.066868207951
1	1	0	0	1	108.569223317478	138.521696055986
0	1	0	0	0	96.6828913399271	125.194043883154
0	1	0	0	1	96.645493412394	118.331869149788
0	1	0	0	0	96.4783076377583	117.789576689771
1	0	1	1	0	97.7540109572933	116.135143395777
1	0	0	1	0	91.5654663051067	112.05120292522
2	0	0	1	0	103.488111458529	138.625227695151
1	0	1	0	0	98.5564650126278	130.760411214141
0	0	0	0	0	100.015911241429	126.498242460869
0	1	1	0	0	88.7106950511678	95.3372568483591
0	0	0	0	0	101.776961249577	125.720678223236
1	0	0	1	0	96.7690274053015	122.891148810167
1	0	1	1	0	95.3668191884216	116.216372578283
1	0	0	1	0	107.480035656691	140.146713168533
0	1	0	0	1	106.227970143488	146.983608202449
0	0	0	1	0	97.0571259239533	120.443509945156
1	0	1	0	0	102.172177704479	134.228842316499
0	1	1	0	0	98.1978639636716	126.081708029368
0	1	1	0	0	101.279301909889	127.558204476644
0	0	1	0	0	94.4084554253741	113.921708492227
0	0	0	2	0	95.2985985735994	122.9094595571
0	0	0	1	0	94.7207988462104	112.598735118672
2	0	1	1	1	108.373549147629	147.764780801872
0	1	1	0	0	91.8860909937823	103.849491339874
1	0	1	0	0	96.5846466799707	134.965214201469
0	1	1	0	1	83.7958173013718	99.351832907149
2	1	0	0	0	92.3853044110961	120.167674077817
0	0	0	0	0	92.0541403653099	112.511410508379
0	0	0	0	1	100.665061108472	124.48936709228
0	0	0	0	0	89.9595567729375	111.455258029366
2	1	1	1	0	101.714352840451	125.000984329836
0	0	1	0	0	90.644176214405	115.316205100756
0	0	0	0	0	93.7648302995517	108.959499628415
0	1	1	0	0	96.7897450613804	125.472133710314
1	0	1	0	1	96.0538681643762	114.136410290324
2	0	0	1	0	97.1090596686146	122.900875219302
1	2	1	1	0	85.3777242705287	94.111676131374
0	1	0	1	0	94.5958890151921	109.367394833656
0	0	1	0	0	98.170023344364	116.653275414711
1	0	0	1	0	90.4103588622832	99.8271325361063
1	0	0	0	0	89.2034022908648	97.6884081060637
1	0	2	1	0	102.606084499518	130.764353169836
0	0	0	0	0	92.1799764223017	112.048078035492
2	0	0	1	1	102.650170948907	131.057073147644
1	0	0	1	0	93.6495736210921	113.724988905735
0	0	1	0	0	92.653327621698	103.833985794399
0	1	0	0	0	92.9652244476091	114.045932669627
0	1	0	0	0	97.6583866880547	129.558348628146
1	1	0	0	0	96.0921407886825	108.073745184893
0	1	0	0	0	96.247149193165	125.946298970015
1	2	1	1	0	98.323356243063	121.314401819885
0	0	0	1	0	98.167651613561	123.326007617257
1	0	1	0	0	94.0831688540976	113.8167928692
1	0	2	1	0	99.7659687735475	129.543179112794
0	0	1	0	0	89.5990696741176	109.873908012048
1	1	2	0	0	98.8676948255226	120.470271422476
1	0	0	0	0	103.313690655319	127.367347935843
2	0	1	0	0	100.453832216159	124.033651539314
2	0	1	0	0	100.158859707368	125.473080276756
0	1	0	1	0	102.460397535571	128.487958370741
2	0	1	1	0	98.3178899453761	120.235914393119
1	0	0	0	0	93.6665865518035	112.068486670545
2	1	1	1	0	97.4263169059281	125.618653066132
1	0	0	0	0	100.516291855377	123.569847106653
1	0	1	0	0	91.7728381299975	117.380657882523
0	1	0	0	0	99.9532069842882	127.092156265445
1	0	1	0	1	96.1473720666485	117.316316366219
0	1	0	0	0	97.1596878312439	111.977790790846
1	0	0	0	0	93.1640514467887	110.688709694844
1	0	1	0	0	103.865434509612	128.058720501257
0	0	0	0	0	95.1227681375938	118.610501292938
1	0	0	0	0	89.683627106557	108.372498535199
0	1	0	0	0	95.5552344166761	124.244785169774
1	0	1	0	0	98.3049783749358	130.518700210966
2	1	0	0	0	98.5358234002982	121.923393020749
1	0	0	0	1	102.620493531168	125.613366435135
1	1	0	0	0	97.2037278867348	126.097061056024
1	0	0	0	0	100.613129797842	124.632413925685
0	1	1	0	1	105.109413756725	130.700547558818
2	0	0	0	0	100.864171741077	129.51536173998
1	0	1	0	0	82.045003974295	96.983933584538
2	0	1	1	0	94.0623745148843	114.06783062901
1	1	1	1	0	100.146016375282	116.556381843275
0	0	0	0	1	101.088760226603	126.71844759075
0	0	1	0	0	94.9880028086561	116.538457140766
0	0	0	0	0	99.7813059438177	132.714146968926
1	0	0	1	0	92.2816486261134	114.605976794077
2	1	0	0	0	99.7604079937781	126.391647980742
0	2	2	1	0	92.4292549829326	110.244201817902
1	0	1	2	0	96.4057924227163	113.650538724867
0	1	0	0	0	92.2953224950907	108.081815104928
0	0	0	0	1	105.906673367144	138.02678639773
1	0	2	1	0	94.4052720161272	122.702482421771
1	1	1	0	0	97.2248073484513	121.467156258807
0	0	0	0	0	94.0470766358938	107.278761308476
2	0	0	0	1	104.610432858673	138.613854451546
1	1	0	0	0	98.1830553447593	121.476005986674
2	1	1	1	0	114.142369566722	153.487438671047
0	0	1	1	0	94.2109566862318	107.071728918929
2	0	1	0	0	102.824926499568	126.400975539554
2	0	0	1	0	95.1473790353844	129.535309310086
1	0	0	0	0	94.9295526795799	113.88938204123
1	0	0	0	0	103.746062953747	134.435849647934
0	0	0	0	0	98.3824806857966	117.992488792249
1	1	0	1	1	97.0431035188778	118.265832429565
0	0	0	0	1	98.5618299755677	124.511423150454
1	1	0	0	0	90.9413186723013	110.185820881911
0	0	0	1	1	95.0706347620397	119.905308082102
1	1	0	0	0	93.5121869140361	117.595046799536
0	0	0	0	0	101.080940933756	132.656662705314
1	1	0	0	0	86.9422528301562	97.8654890472197
0	0	0	0	0	92.2063052756349	117.057853554528
0	1	0	0	0	99.9331297340304	126.324791908234
0	2	0	2	0	93.3760060087124	113.853113067952
0	1	0	0	0	95.9106487716524	120.58636533345
1	0	0	0	0	94.3959363431492	115.233664615725
0	0	0	0	0	94.9999979340144	112.584923684557
0	1	0	0	0	92.9882621844824	106.838543842888
1	0	1	1	0	94.7463113769566	112.063687085699
1	0	1	1	1	93.0596245327403	108.850139570872
0	1	0	1	0	100.179189273428	129.743315233282
0	1	1	1	1	108.658095792432	143.50134036652
1	0	1	1	0	96.2689803320307	126.59116648476
0	0	1	0	1	101.829563571289	128.241850909633
0	0	0	1	0	96.158955337512	122.801578390525
0	1	0	1	0	96.0168704850419	111.521110621594
